,imdb_title_id,title,original_title,year,date_published,genre,duration,country,production_company,avg_vote,votes,budget,weighted_average_vote,total_votes,mean_vote,median_vote,females_allages_avg_vote,lead_actor,support_actor,lead_director,lead_writer,month,production_number,lead_number,support_number,director_number,writer_number,0_Action,0_Adventure,0_Animation,0_Biography,0_Comedy,0_Crime,0_Drama,0_Family,0_Fantasy,0_History,0_Horror,0_Music,0_Musical,0_Mystery,0_News,0_Romance,0_Sci-Fi,0_Sport,0_Thriller,0_War,0_Western,avg_vote_round
1660,tt2800400,Wild Canaries,Wild Canaries,2014,2015-02-25,"Comedy, Crime, Drama",96,USA,Little Teeth Pictures,6.0,414,0,6.0,414,6.3,6.0,5.9,Sophia Takal,Lawrence Michael Levine,Lawrence Michael Levine,Lawrence Michael Levine,2,558,377,511,456,210,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
1661,tt9601220,Black Bear,Black Bear,2020,2020-01-24,Drama,104,USA,Blue Creek Pictures,7.3,125,0,7.3,125,7.1,8.0,7.0,Alexander Koch,Aubrey Plaza,Lawrence Michael Levine,Lawrence Michael Levine,1,171,4277,156,456,210,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
1662,tt7014694,Lost Holiday,Lost Holiday,2019,2019-12-20,"Comedy, Mystery",75,USA,Matthews Brothers,4.8,294,0,4.8,294,5.7,6.0,5.0,Kate Lyn Sheil,Thomas Matthews,Michael Kerry Matthews,Michael Kerry Matthews,12,4274,155,4186,2295,3709,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4
1663,tt1869491,Insomnium,Insomnium,2017,2019-06-18,"Horror, Mystery, Thriller",81,USA,0,4.6,322,0,4.6,322,6.7,8.0,6.0,Brad Pennington,Clint Browning,Scott Powers,Scott Powers,6,0,1872,5422,3402,3237,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,4
1664,tt1877808,The Wish Makers of West Hollywood,The Wish Makers of West Hollywood,2011,2011-05-15,"Comedy, Romance",88,USA,0,4.5,149,0,4.5,149,4.6,5.0,5.5,Ari Sorrentino,Matt Achine,David Grotell,David Grotell,5,0,5293,6653,5941,6617,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4
1665,tt1886504,Cowboys & Indians,Cowboys & Indians,2011,2011,"Adventure, Family, Western",86,USA,0,2.4,177,0,2.4,177,3.5,2.0,2.6,Alvin Cowan,Steve Guilmette,Aaron Burk,Aaron Burk,0,0,1931,6302,3798,5293,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2
1666,tt1887676,"Battle: New York, Day 2","Battle: New York, Day 2",2011,2011-11-21,"Action, Sci-Fi, Thriller",94,USA,0,1.9,705,150000,1.9,705,2.6,1.0,2.6,Tina Tanzer,David Ian Lee,Andrew Bellware,Ralph Boswell,11,0,4351,1553,138,1306,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
1667,tt2385001,Android Insurrection,Android Insurrection,2012,2012-05-24,"Action, Sci-Fi",78,USA,Pandora Machine,1.8,574,0,1.8,574,2.5,1.0,1.8,Juanita Arias,Nat Cassidy,Andrew Bellware,Ralph Boswell,5,378,5407,1410,138,1306,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
1668,tt0496251,Millennium Crisis,Millennium Crisis,2007,2007-08-03,"Sci-Fi, Thriller",85,USA,Braidwood Films,2.3,238,0,2.3,238,3.1,2.0,2.5,Clare Stevenson,Ted Raimi,Andrew Bellware,Andrew Bellware,8,1382,5747,5820,138,1964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2
1669,tt2411516,Prometheus Trap,Prometheus Trap,2012,2012-10-01,Sci-Fi,89,USA,Pandora Machine,2.8,373,560000,2.8,373,3.4,2.0,2.9,Michael Shattner,Rebecca Kush,Andrew Bellware,Steven J. Niles,10,378,2690,4759,138,878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2
